tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2012-10-19,2029,CAPITAL FEDERAL Nº 029,Ciudad Autónoma de Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,19,FORD,VX,FOCUS TREND 1.6L NAFTA,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1984,PARAGUAY,100,02,221
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2008-05-27,2038,CAPITAL FEDERAL Nº 038,Ciudad Autónoma de Buenos Aires,Protocolo 21,2008,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1987,PARAGUAY,100,02,221
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2016-10-25,2048,CAPITAL FEDERAL Nº 048,Ciudad Autónoma de Buenos Aires,Nacional,2016,17,SEDAN 5 PUERTAS,37,RENAULT,2B,CLIO MIO 5P CONFORT PACK SAT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1992,ARGENTINA,100,02,200
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2010-02-16,2064,CAPITAL FEDERAL Nº 064,Ciudad Autónoma de Buenos Aires,Protocolo 21,2010,05,SEDAN 5 PTAS,024,CHEVROLET,388,MERIVA GLS 1.8 SOHC,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1957,ARGENTINA,50,02,200
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2012-01-27,2064,CAPITAL FEDERAL Nº 064,Ciudad Autónoma de Buenos Aires,Protocolo 21,2012,22,SEDAN 3 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1990,ARGENTINA,100,02,200
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2014-11-25,2067,CAPITAL FEDERAL Nº 067,Ciudad Autónoma de Buenos Aires,Protocolo 21,2014,05,SEDAN 5 PUERTAS,024,CHEVROLET,657,CELTA ADVANTAGE AA+DIR,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1991,ARGENTINA,100,02,200
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2020-02-04,2070,CAPITAL FEDERAL Nº 070,Ciudad Autónoma de Buenos Aires,Protocolo 21,2020,04,RURAL 5 PUERTAS,151,JEEP,092,RENEGADE 1.8L SPORT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1957,ARGENTINA,100,02,200
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2007-12-14,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Buenos Aires,Nacional,2007,12,SEDAN 4 PTAS,08,CHEVROLET,BH,CORSA II 4 P GL AA+D,0,Oficial,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2010,No aplica,100,02,
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2013-06-03,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Buenos Aires,Nacional,,12,SEDAN 4 PUERTAS,19,FORD,VD,FOCUSEXE TREND 2.0L NAFTA,0,Oficial,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2010,No aplica,100,02,
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2013-10-10,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,19,FORD,VD,FOCUSEXE TREND 2.0L NAFTA,0,Oficial,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2010,No aplica,100,02,
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2013-09-13,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,19,FORD,VD,FOCUSEXE TREND 2.0L NAFTA,0,Oficial,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2010,No aplica,100,02,
AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.,2025-08-01,2010-06-03,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Buenos Aires,Protocolo 21,2010,02,SEDAN 4 PTAS,024,CHEVROLET,453,CORSA II 1.8L 4P GL AA+DIR GAS,0,Oficial,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2010,No aplica,100,02,
AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS,2025-08-01,2024-07-12,2099,CAPITAL FEDERAL Nº 099,Ciudad Autónoma de Buenos Aires,Nacional,2024,14,RURAL 4/5 PUERTAS,53,VOLKSWAGEN,8Y,TAOS HIGHLINE BI TONO 250 TSI AT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1969,ARGENTINA,100,02,200
